,totPurchaseAmt,street1,zip,property
1090,176000.0,133 104th Ln NE,55434,133 104th Ln NE 55434
1091,375000.0,12270 Midway Circle NE,55449,12270 Midway Circle NE 55449
1092,70000.0,9749 Norway Street NW,55433,9749 Norway Street NW 55433
1093,155000.0,10931 Washington Street NE,55434,10931 Washington Street NE 55434
1094,255000.0,12940 Quincy St NE,55434,12940 Quincy St NE 55434
1095,187000.0,11621 Larch St NW,55448,11621 Larch St NW 55448
1096,287900.0,,55448,
1097,298000.0,3003 127th Lane NW,55448,3003 127th Lane NW 55448
1098,252000.0,11950 Chisholm St NE,55449,11950 Chisholm St NE 55449
1100,175000.0,513 126 avenue Nw,55448,513 126 avenue Nw 55448
1101,200000.0,21938 Washington Street NE,55011,21938 Washington Street NE 55011
1102,300000.0,16030 Makah Street NW,55304,16030 Makah Street NW 55304
1103,157500.0,11440 Quince Street NW,55448,11440 Quince Street NW 55448
1104,239900.0,14840 Argon Street NW,55303,14840 Argon Street NW 55303
1105,122250.0,4936 6th Street Northeast,55421,4936 6th Street Northeast 55421
1106,89950.0,9775 Oliva Street NW,55433,9775 Oliva Street NW 55433
1107,337000.0,1480 N Danube Road,55432,1480 N Danube Road 55432
1108,138000.0,4655 Chatham Road NE,55432,4655 Chatham Road NE 55432
1109,160000.0,7750 245th Avenue NE,55079,7750 245th Avenue NE 55079
1110,203400.0,,55304,
1112,170000.0,535 155th Avenue NW,55304,535 155th Avenue NW 55304
1113,225000.0,4209 2nd Street Northeast,55421,4209 2nd Street Northeast 55421
1114,389000.0,3257 122nd Avenue NE,55449,3257 122nd Avenue NE 55449
1115,234900.0,7062 148th Lane NW,55303,7062 148th Lane NW 55303
1116,135000.0,8600 Lake Drive NE,55025,8600 Lake Drive NE 55025
1117,194000.0,4620 5th Street NE,55421,4620 5th Street NE 55421
1118,268000.0,,55434,
1120,86000.0,630 Glencoe Street NE,55432,630 Glencoe Street NE 55432
1124,273900.0,1087 140th Ln NW,55304,1087 140th Ln NW 55304
1125,189900.0,,55311,
1126,267800.0,5971 145th Lane NW,55303,5971 145th Lane NW 55303
1127,270000.0,1909 132nd Lane NE,55449,1909 132nd Lane NE 55449
1129,260000.0,13403 Ibis Street NW,55304,13403 Ibis Street NW 55304
1130,254000.0,23260 University Avenue Ext NW,55070,23260 University Avenue Ext NW 55070
1131,245000.0,7573 Patti Drive,55014,7573 Patti Drive 55014
1132,252000.0,17017 Valley View Drive NW,55304,17017 Valley View Drive NW 55304
1133,450000.0,14018 Pierce Street NE,55304,14018 Pierce Street NE 55304
1134,325000.0,13780 Holly Street NW,55304,13780 Holly Street NW 55304
1138,152000.0,4041 Washington Street NE,55421,4041 Washington Street NE 55421
1139,155000.0,5724 4th Street NE,55432,5724 4th Street NE 55432
1140,125000.0,640 Polk Street,55303,640 Polk Street 55303
1141,94900.0,413 Hawthorne Road NE,55092,413 Hawthorne Road NE 55092
1142,149000.0,9780 Clover Leaf Pkwy NE,55434,9780 Clover Leaf Pkwy NE 55434
1143,530000.0,412 134th Avenue,55304,412 134th Avenue 55304
1145,500000.0,18655 Zeolite Street NW,55303,18655 Zeolite Street NW 55303
1146,110000.0,22733 London Street NE,54023,22733 London Street NE 54023
1147,198000.0,520 Jefferson Street,55303,520 Jefferson Street 55303
1148,164800.0,11125 Baltimore Street Northeast #L,55449,11125 Baltimore Street Northeast #L 55449
1149,165000.0,5671 154th Court NW,55303,5671 154th Court NW 55303
1150,312500.0,20408 Jewell Street NE,55092,20408 Jewell Street NE 55092
1151,185000.0,4757 Heights Drive,55421,4757 Heights Drive 55421
1152,233700.0,6610 Pierce St NE,55432,6610 Pierce St NE 55432
1153,256000.0,5680 Matterhorn Drive NE,55432,5680 Matterhorn Drive NE 55432
1154,165500.0,739 38th Avenue,55303,739 38th Avenue 55303
1155,275000.0,8900 Syndicate Avenue,55014,8900 Syndicate Avenue 55014
1156,183000.0,3349 173rd Lane NW,55304,3349 173rd Lane NW 55304
1157,289254.0,17801 Saint Francis Boulevard,55303,17801 Saint Francis Boulevard 55303
1158,154900.0,842 105th Lane NW,55433,842 105th Lane NW 55433
1159,135000.0,3214 16th Avenue,55303,3214 16th Avenue 55303
1160,134900.0,6070 5th Street NE,55432,6070 5th Street NE 55432
1161,295000.0,2322 130th Lane N,55448,2322 130th Lane N 55448
1162,230000.0,,55117,
1163,75000.0,,55434,
1164,124425.0,4815 Madison Street Northeast,55421,4815 Madison Street Northeast 55421
1165,280000.0,16760 Wolverine Circle,55303,16760 Wolverine Circle 55303
1168,180500.0,22930 Sunset Road NE,55055,22930 Sunset Road NE 55055
1169,408870.0,,55344,
1171,190000.0,109 105th Ave NE,55434,109 105th Ave NE 55434
1172,309000.0,,55449,
1173,124425.0,4815 Madison Street Northeast,55421,4815 Madison Street Northeast 55421
1174,349500.0,4303 Reservoir Boulevard,55421,4303 Reservoir Boulevard 55421
1175,206000.0,2257 164th Lane NE,55304,2257 164th Lane NE 55304
1176,126100.0,415 Saint Frances Court,55303,415 Saint Frances Court 55303
1177,185000.0,1115 7th Avenue,55303,1115 7th Avenue 55303
1178,185000.0,11244 Bittersweet Street NW,55433,11244 Bittersweet Street NW 55433
1179,269000.0,1445 153rd Lane NW,55304,1445 153rd Lane NW 55304
1181,355000.0,16073 Uranimite St NW,55303,16073 Uranimite St NW 55303
1182,222900.0,7210 149th Lane NW,55303,7210 149th Lane NW 55303
1183,237000.0,1081 127th Avenue NE,55434,1081 127th Avenue NE 55434
1184,179900.0,6325 Van Buren St. NE,55432,6325 Van Buren St. NE 55432
1186,115000.0,,55330,
1187,319200.0,2440 169th Avenue NE,55304,2440 169th Avenue NE 55304
1188,75000.0,1312 44th Avenue Northeast,55421,1312 44th Avenue Northeast 55421
1189,209900.0,951 Territorial Road NE,55434,951 Territorial Road NE 55434
1190,170000.0,1331 43 1/2 Avenue NE,55421,1331 43 1/2 Avenue NE 55421
1191,260000.0,315 Washington Street,55303,315 Washington Street 55303
1192,225000.0,298 Little John Dr,55014,298 Little John Dr 55014
1194,165000.0,525 Ione Avenue NE,55432,525 Ione Avenue NE 55432
1195,100000.0,3266 13th Avenue,55303,3266 13th Avenue 55303
1197,125000.0,3266 13th Avenue,55303,3266 13th Avenue 55303
1198,139000.0,1360 105th Avenue NW,55433,1360 105th Avenue NW 55433
1199,229900.0,,55434,
1200,289500.0,818 Lois Lane,55014,818 Lois Lane 55014
1201,197000.0,3708 Saint Francis Boulevard,55303,3708 Saint Francis Boulevard 55303
1202,176000.0,3106 230th Lane NW,55070,3106 230th Lane NW 55070
1204,400000.0,2987 117th Avenue Northeast,55449,2987 117th Avenue Northeast 55449
1205,374900.0,4914 South Tri Oak Circle NE,55092,4914 South Tri Oak Circle NE 55092
1206,195000.0,,55112,
1207,398285.0,,55344,
1208,225570.0,270 Craigbrook Way NE,55432,270 Craigbrook Way NE 55432
1209,425000.0,6323 Langer Lane,55038,6323 Langer Lane 55038
1210,195000.0,10985 Eagle Street NW,55433,10985 Eagle Street NW 55433
1212,190000.0,3807 227th Avenue NW,55070,3807 227th Avenue NW 55070
1213,48900.0,4567 2nd Street NE,55421,4567 2nd Street NE 55421
1214,319000.0,5425 209th Lane NE,55092,5425 209th Lane NE 55092
1216,160000.0,4801 Jefferson Street NE,55421,4801 Jefferson Street NE 55421
1217,149000.0,,55434,
1218,425000.0,8981 160th Lane NW,55303,8981 160th Lane NW 55303
1220,465000.0,2748 105th Avenue NE,55434,2748 105th Avenue NE 55434
1221,215000.0,16755 HASTINGS ST NE,55304,16755 HASTINGS ST NE 55304
1222,436400.0,2748 105th Ave NE,55449,2748 105th Ave NE 55449
1223,397000.0,4330 162nd Ave NE,55304,4330 162nd Ave NE 55304
1224,178000.0,115 South Road,55014,115 South Road 55014
1225,167900.0,12217 Yancy Street NE,55303,12217 Yancy Street NE 55303
1226,180000.0,8999 Jackson Avenue,55014,8999 Jackson Avenue 55014
1227,155000.0,565 195th Lane NW,55011,565 195th Lane NW 55011
1228,192000.0,3921 10th Ave,55303,3921 10th Ave 55303
1229,235200.0,4600 Polk Street NE,55421,4600 Polk Street NE 55421
1230,92000.0,xxx Sugarbush Road Northwest,55330,xxx Sugarbush Road Northwest 55330
1231,194000.0,181 91st Lane NE,55434,181 91st Lane NE 55434
1232,300000.0,3958  87th Avenue NE,55434,3958  87th Avenue NE 55434
1233,295000.0,3812 3rd Street NE,55421,3812 3rd Street NE 55421
1234,196000.0,951 38th Lane,55303,951 38th Lane 55303
1235,224900.0,2115 138th Ave NW,55304,2115 138th Ave NW 55304
1236,210000.0,11324 Quincy Street NE,55434,11324 Quincy Street NE 55434
1237,184900.0,407 Village Parkway,55014,407 Village Parkway 55014
1239,199000.0,16539 Mankato Street NE,55304,16539 Mankato Street NE 55304
1240,335000.0,13934 Ivywood Street NW,55304,13934 Ivywood Street NW 55304
1241,170000.0,,85375,
1242,179000.0,1626 121st Circle NW,55448,1626 121st Circle NW 55448
1244,415000.0,,56662,
1245,351500.0,1806 Partridge Place,55038,1806 Partridge Place 55038
1246,199000.0,,55304,
1248,256000.0,7607 Quarter Horse Court,55014,7607 Quarter Horse Court 55014
1249,150000.0,,55421,
1250,140000.0,7973 McKinley Street NE,55432,7973 McKinley Street NE 55432
1251,147500.0,12111 Drake Street NW,55311,12111 Drake Street NW 55311
1252,275000.0,17371 Uplander Street NW,55304,17371 Uplander Street NW 55304
1253,128000.0,601 79th Avenue NE,55432,601 79th Avenue NE 55432
1254,229900.0,502 Arrowhead Drive,55014,502 Arrowhead Drive 55014
1255,365000.0,1004 142nd Ave NW,55304,1004 142nd Ave NW 55304
1256,295500.0,4864 101st Ln NE,55014,4864 101st Ln NE 55014
1257,228000.0,15210 Yakima Street NW,55303,15210 Yakima Street NW 55303
1258,285000.0,,56540,
1259,193000.0,1994 Robin Lane South,55038,1994 Robin Lane South 55038
1260,341000.0,16777 Shenandoah St NE,55304,16777 Shenandoah St NE 55304
1261,169500.0,3972 124th Avenue NW,55433,3972 124th Avenue NW 55433
1262,224900.0,2240 112th Lane NW,55433,2240 112th Lane NW 55433
1263,190000.0,10961 Fergus Street NE #F,55449,10961 Fergus Street NE #F 55449
1264,170000.0,12208 Foley Blvd NW,55448,12208 Foley Blvd NW 55448
1265,260000.0,2334 129th Lane NW,55448,2334 129th Lane NW 55448
1267,335000.0,6595 Gaage Lane,55038,6595 Gaage Lane 55038
1268,293000.0,6227 Laurene Avenue,55014,6227 Laurene Avenue 55014
1269,322000.0,15034 Drake St. NW,55304,15034 Drake St. NW 55304
1270,215900.0,10862 Fillmore Street,55434,10862 Fillmore Street 55434
1271,245000.0,2207 131st Lane NW,55448,2207 131st Lane NW 55448
1272,242000.0,,55038,
1273,259000.0,4301 165th Ave NE,55304,4301 165th Ave NE 55304
1274,480000.0,3152 Rodeo Drive NE,55449,3152 Rodeo Drive NE 55449
1275,239900.0,9524 Able St. NE,55434,9524 Able St. NE 55434
1276,349900.0,1040 117th Avenue NE,55434,1040 117th Avenue NE 55434
1277,166000.0,10744 Foley Boulevard NW,55448,10744 Foley Boulevard NW 55448
1285,249900.0,,47172,
1286,302500.0,2228 118th Avenue NE,55449,2228 118th Avenue NE 55449
1287,110000.0,5805 3rd Street NE,55432,5805 3rd Street NE 55432
1288,172500.0,636 Mississippi Street NE,55432,636 Mississippi Street NE 55432
1290,182500.0,1415 131st Avenue NE,55449,1415 131st Avenue NE 55449
1291,180000.0,3953 Jackson Street NE,55421,3953 Jackson Street NE 55421
1292,150000.0,20023 East Bethel Boulevard Northeast,55011,20023 East Bethel Boulevard Northeast 55011
1293,150000.0,2106 Willow Circle,55038,2106 Willow Circle 55038
1294,315000.0,2378 Tart Lake Road,55038,2378 Tart Lake Road 55038
1295,239700.0,1874 134th Lane NW,55304,1874 134th Lane NW 55304
1297,60000.0,11429 Quince Street NW,55448,11429 Quince Street NW 55448
1298,194900.0,8330 Westwood Road NE,55432,8330 Westwood Road NE 55432
1299,247900.0,,55443,
1300,162500.0,11728 Jonquil St. NW,55433,11728 Jonquil St. NW 55433
1301,155500.0,15389 Germanium St. NW,55303,15389 Germanium St. NW 55303
1303,189000.0,4606 Jefferson Street NE,55421,4606 Jefferson Street NE 55421
1304,311000.0,4931 185th Lane NW,55303,4931 185th Lane NW 55303
1305,199000.0,11740 Vermillion Street NE,55449,11740 Vermillion Street NE 55449
1306,309500.0,1862 118th Avenue Northeast,55449,1862 118th Avenue Northeast 55449
1307,220000.0,62 98th Lane NW,55448,62 98th Lane NW 55448
1308,225000.0,16629 Isanti Circle NE,55304,16629 Isanti Circle NE 55304
1309,187500.0,9508 Lexington Avenue North,55014,9508 Lexington Avenue North 55014
1310,149900.0,3666 118th Lane NW,55433,3666 118th Lane NW 55433
1311,277000.0,6665 Clearwater Creek Drive,55014,6665 Clearwater Creek Drive 55014
1312,160000.0,56 West Road,55014,56 West Road 55014
1313,324000.0,1524 89th ST NE,55449,1524 89th ST NE 55449
1314,145000.0,1173 Norton Ave NE,55432,1173 Norton Ave NE 55432
1315,269000.0,19860 Swallow St Nw,55011,19860 Swallow St Nw 55011
1316,200000.0,16668 Sycamore Street NW,55304,16668 Sycamore Street NW 55304
1317,490000.0,20861 Verdin Street NW,55011,20861 Verdin Street NW 55011
1318,169900.0,1051 159th Lane NW,55304,1051 159th Lane NW 55304
1319,180000.0,7851 Pearson Way NE,55432,7851 Pearson Way NE 55432
1320,230000.0,,55112,
1321,208000.0,11841 Bittersweet St. NW,55433,11841 Bittersweet St. NW 55433
1322,190000.0,10870 Eagle St NW,55433,10870 Eagle St NW 55433
1324,457851.0,16638 Avocet Street NW,55304,16638 Avocet Street NW 55304
1325,159900.0,13244 Vintage Street NW,55448,13244 Vintage Street NW 55448
1327,410000.0,3038 Bunker Lake Boulevard NE,55304,3038 Bunker Lake Boulevard NE 55304
1328,633471.22,933 Pheasant Run South,55014,933 Pheasant Run South 55014
1329,170000.0,724 50th Avenue NE,55421,724 50th Avenue NE 55421
1330,177900.0,10083 Pleasure Creek Circle NE,55434,10083 Pleasure Creek Circle NE 55434
1331,210000.0,1016 44th Street NE,55421,1016 44th Street NE 55421
1332,204900.0,"9932 Yalta Street NE,",55014,"9932 Yalta Street NE, 55014"
1334,375910.0,,55344,
1335,515000.0,12015 Jamestown Street NE,55449,12015 Jamestown Street NE 55449
1336,159000.0,8544 239th Lane NE,55079,8544 239th Lane NE 55079
1337,247500.0,6229 207th Ave NE,55092,6229 207th Ave NE 55092
1339,144500.0,18210 Cedar Drive NW,55011,18210 Cedar Drive NW 55011
1340,435000.0,16520 Tippecanoe St. NE,55304,16520 Tippecanoe St. NE 55304
1341,260000.0,,55103,
1342,244900.0,2090 131st Avenue Northwest,55448,2090 131st Avenue Northwest 55448
1343,174321.83,212 MECURY DRIVE NORTHEAST,55432,212 MECURY DRIVE NORTHEAST 55432
1345,220000.0,15653 Juniper Ridge Dr NW,55303,15653 Juniper Ridge Dr NW 55303
1346,154900.0,456 Park Street,55303,456 Park Street 55303
1347,350000.0,445 137th Lane NW,55304,445 137th Lane NW 55304
1349,267500.0,12646 Goodhue Street NE,55449,12646 Goodhue Street NE 55449
1350,493313.0,16658 Avocet Street NW,55304,16658 Avocet Street NW 55304
1352,164000.0,2420 4th Avenue,55303,2420 4th Avenue 55303
1353,204965.0,4011 5th Street NE,55421,4011 5th Street NE 55421
1355,182000.0,19837 E Bethel Boulevard NE,55011,19837 E Bethel Boulevard NE 55011
1356,239900.0,3304 QUARRY AVENUE,55303,3304 QUARRY AVENUE 55303
1357,217500.0,19354 3rd Street NE,55011,19354 3rd Street NE 55011
1358,209900.0,10137 Raven Street NW,55433,10137 Raven Street NW 55433
1359,225000.0,1745 131st Lan NW,55448,1745 131st Lan NW 55448
1360,305000.0,9180 Alamo St NE,55449,9180 Alamo St NE 55449
1362,355000.0,14310 Bowers Drive NW,55303,14310 Bowers Drive NW 55303
1363,132000.0,,55014,
1364,195000.0,,55303,
1365,180000.0,6490 Ware Road,55014,6490 Ware Road 55014
1366,224900.0,15273 Barium Street NW,55303,15273 Barium Street NW 55303
1368,220000.0,14408 Vale Street NW,55304,14408 Vale Street NW 55304
1369,100000.0,9951 Quince St NW,55433,9951 Quince St NW 55433
1370,310000.0,1501 158th Lane NW,55304,1501 158th Lane NW 55304
1371,413200.0,954 197th Avenue Northeast,55011,954 197th Avenue Northeast 55011
1373,235000.0,7055 Eagle Trail,55038,7055 Eagle Trail 55038
1374,180000.0,18 East Road,55014,18 East Road 55014
1375,125000.0,598 Janesville St. NE,55432,598 Janesville St. NE 55432
1376,347000.0,499 South Glen Trail,55014,499 South Glen Trail 55014
1377,199900.0,847 124th LN NE,55434,847 124th LN NE 55434
1378,215000.0,2833 9th Avenue,55303,2833 9th Avenue 55303
1380,219000.0,6631 Hokah Drive,55014,6631 Hokah Drive 55014
1381,432500.0,12604 Jamestown Street NE,55449,12604 Jamestown Street NE 55449
1382,225000.0,12220 Sycamore Street NW,55448,12220 Sycamore Street NW 55448
1383,229000.0,4181 Sunshine Drive NW,55303,4181 Sunshine Drive NW 55303
1384,169000.0,100 90th Lane NE,55434,100 90th Lane NE 55434
1385,317000.0,3538 EDMAR LANE NE,55092,3538 EDMAR LANE NE 55092
1386,219900.0,3846 143rd Ave. NW,55304,3846 143rd Ave. NW 55304
1387,260000.0,17938 Iodine St. NW,55303,17938 Iodine St. NW 55303
1388,280000.0,13914 Wintergreen Street Northwest,55304,13914 Wintergreen Street Northwest 55304
1389,131500.0,230 109th Lane NW,55448,230 109th Lane NW 55448
1391,111000.0,2320 Maiden Lane Northeast,55421,2320 Maiden Lane Northeast 55421
1392,224900.0,1340 140th lane nw,55433,1340 140th lane nw 55433
1394,235000.0,13548 Heather Street NW,55304,13548 Heather Street NW 55304
1395,235000.0,13548 Heather Street NW,55304,13548 Heather Street NW 55304
1396,363500.0,4354 123rd Circle NE,55449,4354 123rd Circle NE 55449
1397,157000.0,714 Ione Ave Ne,55432,714 Ione Ave Ne 55432
1398,227500.0,3901 9th Lane N,55303,3901 9th Lane N 55303
1400,183000.0,4122 Madison St NE,55421,4122 Madison St NE 55421
1401,282103.0,3850 10th Avenue,55303,3850 10th Avenue 55303
1402,193000.0,2960 121st Ave NW,55433,2960 121st Ave NW 55433
1403,211000.0,7877 Gotland Lane,55014,7877 Gotland Lane 55014
1405,253000.0,428 Post Road,55014,428 Post Road 55014
1406,235000.0,20129 Wolverine Street NW,55330,20129 Wolverine Street NW 55330
1407,237000.0,11033 Terrace Road NE,55434,11033 Terrace Road NE 55434
1408,450000.0,3781 193rd Lane Northwest,55303,3781 193rd Lane Northwest 55303
1409,388900.0,6690 Ruffed Grouse Rd,55014,6690 Ruffed Grouse Rd 55014
1410,203500.0,216 Territorial Rd NE,55434,216 Territorial Rd NE 55434
1411,159000.0,4774 Upland Crest NE,55421,4774 Upland Crest NE 55421
1413,436900.0,14412 Isanti Street NE,55304,14412 Isanti Street NE 55304
1419,369900.0,30096 128th Lane NE,55449,30096 128th Lane NE 55449
1421,198500.0,7284 146th Ave NW,55303,7284 146th Ave NW 55303
1422,269900.0,2959 93rd Avenue NE,55449,2959 93rd Avenue NE 55449
1423,363000.0,481 South Glen Trail,55014,481 South Glen Trail 55014
1425,158000.0,,29601,
1426,337500.0,1320 191st Avenue NW,55011,1320 191st Avenue NW 55011
1427,312500.0,3112 216th Ave NW,55011,3112 216th Ave NW 55011
1428,131500.0,1905 1114th Avenue NW,55433,1905 1114th Avenue NW 55433
1429,139000.0,8060 Jefferson Street NE,55432,8060 Jefferson Street NE 55432
1430,210000.0,261 Constance Blvd NW,55304,261 Constance Blvd NW 55304
1432,375000.0,5009 229th Ave NW,55070,5009 229th Ave NW 55070
1434,304000.0,6221 153rd Lane NW,55303,6221 153rd Lane NW 55303
1435,357321.0,16068 Uranimite St NW,55303,16068 Uranimite St NW 55303
1436,184900.0,187 Panorama Avenue,55421,187 Panorama Avenue 55421
1437,135000.0,2532 Branch Ave,55303,2532 Branch Ave 55303
1439,319900.0,15672bKiowa St. NW,55304,15672bKiowa St. NW 55304
1441,470000.0,2930 Aspen Lake Drive,55449,2930 Aspen Lake Drive 55449
1443,235000.0,3149 130th Avenue NW,55448,3149 130th Avenue NW 55448
1444,186000.0,4652 5th Street,55421,4652 5th Street 55421
1445,227500.0,11917 WEDGEWOOD DR NW,55433,11917 WEDGEWOOD DR NW 55433
1446,95900.0,,55304,
1447,185000.0,1787 132nd Avenue NW,55448,1787 132nd Avenue NW 55448
1448,145000.0,,85262,
1449,290000.0,5528 W Danube Road NE,55432,5528 W Danube Road NE 55432
1450,250000.0,,55304,
1451,166300.0,,55443,
1452,175000.0,9737 3rd Street NE,55434,9737 3rd Street NE 55434
1453,177500.0,4426 3rd Street NE,55421,4426 3rd Street NE 55421
1454,238000.0,14336 Waco Street Northwest,55303,14336 Waco Street Northwest 55303
1455,280000.0,2843 126th Ave NW,55448,2843 126th Ave NW 55448
1456,207900.0,228 123rd Ln NW,55448,228 123rd Ln NW 55448
1459,207800.0,203 103rd Ave NE,55434,203 103rd Ave NE 55434
1460,322500.0,6140 172nd Lane NW,55303,6140 172nd Lane NW 55303
1461,167900.0,10679 Terrace Road NE,55434,10679 Terrace Road NE 55434
1462,215000.0,3874 98th Avenue NE,55014,3874 98th Avenue NE 55014
1464,345000.0,517 127th Ave NW,55448,517 127th Ave NW 55448
1465,194000.0,1701 3rd Avenue,55303,1701 3rd Avenue 55303
1466,240000.0,2166 141st Lane NW,55304,2166 141st Lane NW 55304
1467,563837.0,14512 Edison Street NE,55304,14512 Edison Street NE 55304
1468,140000.0,4001 Cleveland Street NE,55421,4001 Cleveland Street NE 55421
1469,167500.0,21535 Volga St. NE,55092,21535 Volga St. NE 55092
1470,196400.0,3411 Quarry Ave.,55303,3411 Quarry Ave. 55303
1473,530000.0,15863 Uplander Street NW,55304,15863 Uplander Street NW 55304
1474,25000.0,11940 Jefferson Street NE,55434,11940 Jefferson Street NE 55434
1475,334400.0,14615 University Avenue Northeast,55304,14615 University Avenue Northeast 55304
1476,375000.0,1088 S Trappers Xing,55038,1088 S Trappers Xing 55038
1477,98500.0,4408 Madison Street NE,55421,4408 Madison Street NE 55421
1478,215000.0,1052 122nd Avenue NW,55448,1052 122nd Avenue NW 55448
1479,162750.0,7341 154th Ln NW,55303,7341 154th Ln NW 55303
1480,235000.0,5949 4th St NE,55432,5949 4th St NE 55432
1481,197500.0,3782 Edith Lane,55014,3782 Edith Lane 55014
1483,150000.0,4259 7th Street NE,55421,4259 7th Street NE 55421
1484,220000.0,3965 86th Lane NE,55014,3965 86th Lane NE 55014
1485,179500.0,65 75th Way NE,55432,65 75th Way NE 55432
1488,419900.0,4720 209th Avenue NE,55011,4720 209th Avenue NE 55011
1489,169000.0,8689 Norway Street NW,55433,8689 Norway Street NW 55433
1490,170500.0,12475 Unity Street Northwest,55448,12475 Unity Street Northwest 55448
1492,195900.0,16440 Yttrium Street NW,55303,16440 Yttrium Street NW 55303
1493,387550.0,14453 Goldenrod Street NW,55304,14453 Goldenrod Street NW 55304
1495,189777.0,4152 Quincy Street NE,55421,4152 Quincy Street NE 55421
1496,252000.0,15395 Krypton St. NW,55303,15395 Krypton St. NW 55303
1497,193900.0,11459 Quince St. NW,55448,11459 Quince St. NW 55448
1498,219900.0,701 96th Lane NE,55434,701 96th Lane NE 55434
1500,180000.0,10541 Xavis St. NW,55433,10541 Xavis St. NW 55433
1501,120000.0,10437 Jay Street,55433,10437 Jay Street 55433
1503,175000.0,5155 Matterhorn Drive,55421,5155 Matterhorn Drive 55421
1504,150500.0,8013 244th Circle NE,55079,8013 244th Circle NE 55079
1505,300000.0,1477 Windemere Circle NE,55421,1477 Windemere Circle NE 55421
1506,215900.0,6950 Hickory Dr NE,55432,6950 Hickory Dr NE 55432
1508,141000.0,11339 Wren St NW,55433,11339 Wren St NW 55433
1509,274000.0,19276 Isetta Street,55092,19276 Isetta Street 55092
1510,242000.0,1910 122ND AVENUE NW,55448,1910 122ND AVENUE NW 55448
1511,220000.0,11468 Round Lake Blvd. NW,55433,11468 Round Lake Blvd. NW 55433
1513,266000.0,2933 89th Court NE,55449,2933 89th Court NE 55449
1514,345000.0,,28644,
1517,189000.0,4636 Taylor Street NE,55421,4636 Taylor Street NE 55421
1518,198900.0,526 Oakwood Dr,55303,526 Oakwood Dr 55303
1519,335000.0,4173 226th Lane Northeast,55011,4173 226th Lane Northeast 55011
1520,498753.0,14548 Edison Street NE,55304,14548 Edison Street NE 55304
1521,240000.0,886 114th Avenue NE,55434,886 114th Avenue NE 55434
1522,129900.0,5653 West Bavarian Pass Northeast,55432,5653 West Bavarian Pass Northeast 55432
1523,222000.0,501 Arrowhead Drive,55014,501 Arrowhead Drive 55014
1524,232750.0,1550 Trollhagen Dr NE,55421,1550 Trollhagen Dr NE 55421
1525,248000.0,749 99th Circle NE,55434,749 99th Circle NE 55434
1528,182900.0,11105 Baltimore St NE,55449,11105 Baltimore St NE 55449
